version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,baseline,system_prompt.md+tools.yaml,v0,N/A,N/A,Initial baseline,N/A,N/A,N/A,N/A,runs/v0_B_base_custom_20260915T192321182963.json
v0,baseline,system_prompt.md+tools.yaml,v0,N/A,N/A,Baseline adversarial,N/A,N/A,N/A,N/A,runs/v0_B_adversarial_custom_20260915T193856660174.json
v0,baseline,system_prompt.md+tools.yaml,v0,N/A,N/A,Baseline group,N/A,N/A,N/A,N/A,runs/v0_B_group_custom_20260915T203428468563.json
v1,Trương Hoàng Thanh An,system_prompt.md,v1+pbae190378eed+tf4d3b1893c8a,bae190378eeda27e703dd87008ad88b30f4d993c834c761837b0c619d77eec88,f4d3b1893c8a391501007d549b865740e752d8d222545cc28a43ce8ad640a8af,Fix H08 out_of_scope refusal + H12 confirm boundary + parallel tool calls,Out-of-scope should refuse directly,case_accuracy,66.67%,50%,runs/v1_B_base_custom_20260915T202117823561.json
v1,Trương Hoàng Thanh An,system_prompt.md,v1+pbae190378eed+tf4d3b1893c8a,bae190378eeda27e703dd87008ad88b30f4d993c834c761837b0c619d77eec88,f4d3b1893c8a391501007d549b865740e752d8d222545cc28a43ce8ad640a8af,Adversarial v1,Safety should improve,case_accuracy,25%,27.27%,runs/v1_B_adversarial_custom_20260915T201504262541.json
v1,Trương Hoàng Thanh An,system_prompt.md,v1+pbae190378eed+tf4d3b1893c8a,bae190378eeda27e703dd87008ad88b30f4d993c834c761837b0c619d77eec88,f4d3b1893c8a391501007d549b865740e752d8d222545cc28a43ce8ad640a8af,Group eval v1,Team cases should pass,case_accuracy,20%,60%,runs/v1_B_group_custom_20260915T203216669711.json
v2,Trương Hoàng Thanh An,system_prompt.md,v2+pfa611db64138+t3038297f078f,fa611db641385c267731a91044a8e68c1f7c3c29bd82fef371fb291651648072,3038297f078f1bf52e3564a24b7f6400d970e55ebc579d684607ca8f2353a815,Add multi-turn context handling (carry forward, corrections, intent changes),Multi-turn handling should improve,multiturn_accuracy,"40%,50%,runs/v2_B_base_custom_20260915T200928662623.json"
v2,Trương Hoàng Thanh An,system_prompt.md,v2+pfa611db64138+t3038297f078f,fa611db641385c267731a91044a8e68c1f7c3c29bd82fef371fb291651648072,3038297f078f1bf52e3564a24b7f6400d970e55ebc579d684607ca8f2353a815,Adversarial v2,Safety should improve,case_accuracy,25%,33.33%,runs/v2_B_adversarial_custom_20260915T201626686670.json
v2,Trương Hoàng Thanh An,system_prompt.md,v2+pfa611db64138+t3038297f078f,fa611db641385c267731a91044a8e68c1f7c3c29bd82fef371fb291651648072,3038297f078f1bf52e3564a24b7f6400d970e55ebc579d684607ca8f2353a815,Group eval v2,Team cases should pass,case_accuracy,20%,60%,runs/v2_B_group_custom_20260915T203230157476.json
v3,Trương Hoàng Thanh An,system_prompt.md,v3+p09484f09c11e+ta4f0a5f91549,09484f09c11e339901be58ea3effd18a0ebcf70d26e45d772ae29f3210881482,a4f0a5f91549bafce0651bbd41e9d286cd3cbd6e625a343615af1a5825ff81c0,Final version: All improvements combined + safety rules + confirmation invalidation,All failures from v0 should be fixed,case_accuracy,66.67%,83.33%,runs/v3_B_base_custom_20260915T200950666762.json
v3,Trương Hoàng Thanh An,system_prompt.md,v3+p09484f09c11e+ta4f0a5f91549,09484f09c11e339901be58ea3effd18a0ebcf70d26e45d772ae29f3210881482,a4f0a5f91549bafce0651bbd41e9d286cd3cbd6e625a343615af1a5825ff81c0,Adversarial v3,Safety should improve,case_accuracy,25%,25%,runs/v3_B_adversarial_custom_20260915T202352224281.json
v3,Trương Hoàng Thanh An,system_prompt.md,v3+p09484f09c11e+ta4f0a5f91549,09484f09c11e339901be58ea3effd18a0ebcf70d26e45d772ae29f3210881482,a4f0a5f91549bafce0651bbd41e9d286cd3cbd6e625a343615af1a5825ff81c0,Group eval v3,Team cases should pass,case_accuracy,20%,80%,runs/v3_B_group_custom_20260915T203252244232.json
v0,Nguyễn Thị Minh Tiến,system_prompt.md+check_asset_warranty,v0+pca8d80e595f1+t454674500da8,ca8d80e595f19bd0e206e13c904e929339dfac47a13e6ed0877c9b6b834c43c1,454674500da8b41c7c293b459375b6ba292b193f4c0733a9d3f814298595c280,Bonus warranty baseline (v0 prompt),Bonus tool should route correctly,case_accuracy,N/A,80%,runs/v0_B_extension_custom_20260916T001056442408.json
v1,Nguyễn Thị Minh Tiến,system_prompt.md+check_asset_warranty,v1+pbae190378eed+t454674500da8,bae190378eeda27e703dd87008ad88b30f4d993c834c761837b0c619d77eec88,454674500da8b41c7c293b459375b6ba292b193f4c0733a9d3f814298595c280,Bonus warranty eval v1,Bonus tool should route correctly,case_accuracy,N/A,80%,runs/v1_B_extension_custom_20260916T001111975368.json
v2,Nguyễn Thị Minh Tiến,system_prompt.md+check_asset_warranty,v2+pfa611db64138+t454674500da8,fa611db641385c267731a91044a8e68c1f7c3c29bd82fef371fb291651648072,454674500da8b41c7c293b459375b6ba292b193f4c0733a9d3f814298595c280,Bonus warranty eval v2,Bonus tool should route correctly,case_accuracy,N/A,100%,runs/v2_B_extension_custom_20260916T001127948058.json
v3,Nguyễn Thị Minh Tiến,system_prompt.md+check_asset_warranty,v3+p09484f09c11e+t454674500da8,09484f09c11e339901be58ea3effd18a0ebcf70d26e45d772ae29f3210881482,454674500da8b41c7c293b459375b6ba292b193f4c0733a9d3f814298595c280,Bonus warranty eval v3 final,Bonus tool should route correctly,case_accuracy,N/A,100%,runs/v3_B_extension_custom_20260916T001038903901.json
